Oscar,Total,MovieName
Won 1 Oscar,15 wins & 38 nominations total,"Monsters, Inc."
Won 1 Oscar,5 wins & 12 nominations total,Mr. Smith Goes to Washington
Won 3 Oscars,15 wins & 20 nominations total,Jaws
Nominated for 2 Oscars,25 wins & 63 nominations total,How to Train Your Dragon
Awards,5 wins & 9 nominations,Mary and Max
Won 2 Oscars,25 wins & 88 nominations total,Ford v Ferrari
Awards,9 wins & 2 nominations,Det Sjunde inseglet
Won 1 Oscar,108 wins & 141 nominations total,Room
Awards,5 wins & 18 nominations,The Big Lebowski
Won 1 Oscar,68 wins & 42 nominations total,Ratatouille
Awards,3 wins,T?ky? monogatari
Won 3 Oscars,21 wins & 23 nominations total,Rocky
Nominated for 3 Oscars,16 wins & 49 nominations total,Hotel Rwanda
Nominated for 1 Oscar,28 wins & 82 nominations total,Logan
Won 2 Oscars,124 wins & 144 nominations total,Spotlight
Won 4 Oscars,24 wins & 16 nominations total,Platoon
Awards,4 wins & 1 nomination,La Passion de Jeanne d'Arc
Awards,8 wins & 7 nominations,The Terminator
Awards,10 wins & 20 nominations,Jai Bhim
Nominated for 1 Oscar,9 wins & 32 nominations total,Before Sunset
Won 1 BAFTA Award,6 wins & 65 nominations total,Rush
Won 4 Oscars,20 wins & 27 nominations total,Network
Won 7 Oscars,21 wins & 3 nominations total,The Best Years of Our Lives
Won 2 Oscars,18 wins & 19 nominations total,The Exorcist
Nominated for 1 Oscar,6 wins & 12 nominations total,Stand by Me
Awards,8 wins & 15 nominations,La Haine
Nominated for 5 Oscars,38 wins & 104 nominations total,Pirates of the Caribbean: The Curse of the Black Pearl
Won 2 Oscars,13 wins & 14 nominations total,The Wizard of Oz
Won 2 Oscars,69 wins & 56 nominations total,The Incredibles
Nominated for 2 Oscars,23 wins & 106 nominations total,Into the Wild
Awards,1 nomination,Hachi: A Dog's Tale
Nominated for 1 Oscar,2 wins & 2 nominations total,To Be or Not to Be
Won 1 BAFTA Award,69 wins & 104 nominations total,Ah-ga-ssi
Awards,14 wins & 7 nominations,Babam Ve Oglum
Nominated for 3 Oscars,9 wins & 8 nominations total,La battaglia di Algeri
Won 1 BAFTA Award,7 wins & 17 nominations total,Groundhog Day
Won 2 Oscars,10 wins & 6 nominations total,The Grapes of Wrath
Nominated for 1 Oscar,55 wins & 24 nominations total,Amores perros
Won 5 Oscars,17 wins & 13 nominations total,The Sound of Music
Won 2 Oscars,7 wins & 10 nominations total,Rebecca
Won 1 Oscar,5 wins & 11 nominations total,Cool Hand Luke
Won 1 BAFTA Award,20 wins & 18 nominations total,The Iron Giant
Nominated for 1 BAFTA Award,11 wins & 2 nominations total,Pather Panchali
Won 5 Oscars,11 wins & 2 nominations total,It Happened One Night
Won 1 Oscar,79 wins & 121 nominations total,The Help
Nominated for 1 Oscar,8 wins & 5 nominations total,Les Quatre cents coups
Won 2 Oscars,34 wins & 22 nominations total,Aladdin
Won 7 Oscars,55 wins & 38 nominations total,Dances with Wolves
,See the Top 250 movies as rated by IMDb users,Life of Brian
Awards,18 wins & 65 nominations,Gangs of Wasseypur
